Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 60000000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 5
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01612140 -12.8900 0.0600 90.0000
 0 0.01785920 -12.8900 0.0600 90.0000
 0 0.01598540 -12.8900 0.0600 90.0000
 0 0.01489490 -12.8900 0.0600 90.0000
 0 0.01919610 -12.8900 0.0600 90.0000
 0 0.01707340 -12.8900 0.0600 90.0000
 0 0.01638430 -12.8900 0.0600 90.0000
 0 0.01667770 -12.8900 0.0600 90.0000
 0 0.01643550 -12.8900 0.0600 90.0000
 0 0.01988090 -12.8900 0.0600 90.0000
 0 0.01383690 -12.8900 0.0600 90.0000
 0 0.01813410 -12.8900 0.0600 90.0000
 0 0.01601720 -12.8900 0.0600 90.0000
 0 0.01663910 -12.8900 0.0600 90.0000
 0 0.01548730 -12.8900 0.0600 90.0000
 0 0.01771410 -12.8900 0.0600 90.0000
 0 0.01402300 -12.8900 0.0600 90.0000
 0 0.01768510 -12.8900 0.0600 90.0000
 0 0.01548630 -12.8900 0.0600 90.0000
 0 0.01798450 -12.8900 0.0600 90.0000
 0 0.01700490 -12.8900 0.0600 90.0000
 0 0.01750050 -12.8900 0.0600 90.0000
 0 0.01923430 -12.8900 0.0600 90.0000
 0 0.01350450 -12.8900 0.0600 90.0000
 0 0.01640810 -12.8900 0.0600 90.0000
 0 0.01545380 -12.8900 0.0600 90.0000
 0 0.01941360 -12.8900 0.0600 90.0000
 0 0.01560840 -12.8900 0.0600 90.0000
 0 0.01642890 -12.8900 0.0600 90.0000
 0 0.01664530 -12.8900 0.0600 90.0000
 0 0.01713560 -12.8900 0.0600 90.0000
 0 0.01932110 -12.8900 0.0600 90.0000
 0 0.01792880 -12.8900 0.0600 90.0000
 0 0.01556530 -12.8900 0.0600 90.0000
 0 0.01582870 -12.8900 0.0600 90.0000
 0 0.01731300 -12.8900 0.0600 90.0000
 0 0.01621370 -12.8900 0.0600 90.0000
 0 0.02100310 -12.8900 0.0600 90.0000
 0 0.01690220 -12.8900 0.0600 90.0000
 0 0.01666630 -12.8900 0.0600 90.0000
 0 0.01643490 -12.8900 0.0600 90.0000
 0 0.01555560 -12.8900 0.0600 90.0000
 0 0.01803080 -12.8900 0.0600 90.0000
 0 0.01579090 -12.8900 0.0600 90.0000
 0 0.01256730 -12.8900 0.0600 90.0000
 0 0.01579890 -12.8900 0.0600 90.0000
 0 0.01528370 -12.8900 0.0600 90.0000
 0 0.01473210 -12.8900 0.0600 90.0000
 0 0.01811530 -12.8900 0.0600 90.0000
 0 0.01653990 -12.8900 0.0600 90.0000
 0 0.01644100 -12.8900 0.0600 90.0000
 0 0.01713000 -12.8900 0.0600 90.0000
 0 0.01762670 -12.8900 0.0600 90.0000
 0 0.01516470 -12.8900 0.0600 90.0000
 0 0.01719200 -12.8900 0.0600 90.0000
 0 0.01748680 -12.8900 0.0600 90.0000
 0 0.01724370 -12.8900 0.0600 90.0000
 0 0.01687020 -12.8900 0.0600 90.0000
 0 0.01638450 -12.8900 0.0600 90.0000
 0 0.01705600 -12.8900 0.0600 90.0000
 0 0.01655630 -12.8900 0.0600 90.0000
 0 0.01677390 -12.8900 0.0600 90.0000
 0 0.01604530 -12.8900 0.0600 90.0000
 0 0.01729420 -12.8900 0.0600 90.0000
 0 0.01627970 -12.8900 0.0600 90.0000
 0 0.01752680 -12.8900 0.0600 90.0000
 0 0.01654960 -12.8900 0.0600 90.0000
 0 0.01693620 -12.8900 0.0600 90.0000
 0 0.01429450 -12.8900 0.0600 90.0000
 21 0.01875570 -12.8900 0.0600 90.0000
 0 0.01555300 -12.8900 0.0600 90.0000
 0 0.01770320 -12.8900 0.0600 90.0000
 0 0.01644330 -12.8900 0.0600 90.0000
 0 0.01725430 -12.8900 0.0600 90.0000
 0 0.01629070 -12.8900 0.0600 90.0000
 0 0.01922840 -12.8900 0.0600 90.0000
 0 0.01581350 -12.8900 0.0600 90.0000
 0 0.01778650 -12.8900 0.0600 90.0000
 0 0.01619370 -12.8900 0.0600 90.0000
 0 0.01617210 -12.8900 0.0600 90.0000
 0 0.01640310 -12.8900 0.0600 90.0000
 0 0.01627270 -12.8900 0.0600 90.0000
 0 0.01512770 -12.8900 0.0600 90.0000
 0 0.01561750 -12.8900 0.0600 90.0000
 0 0.01817890 -12.8900 0.0600 90.0000
 0 0.01525510 -12.8900 0.0600 90.0000
 0 0.01894090 -12.8900 0.0600 90.0000
 0 0.01605620 -12.8900 0.0600 90.0000
 0 0.01592080 -12.8900 0.0600 90.0000
 0 0.01422380 -12.8900 0.0600 90.0000
 0 0.01787040 -12.8900 0.0600 90.0000
 0 0.01700110 -12.8900 0.0600 90.0000
 0 0.01532210 -12.8900 0.0600 90.0000
 0 0.01885110 -12.8900 0.0600 90.0000
 0 0.01806880 -12.8900 0.0600 90.0000
 0 0.01681720 -12.8900 0.0600 90.0000
 0 0.01658710 -12.8900 0.0600 90.0000
 0 0.01661610 -12.8900 0.0600 90.0000
 0 0.01699980 -12.8900 0.0600 90.0000
 0 0.01643910 -12.8900 0.0600 90.0000
 0 0.01496770 -12.8900 0.0600 90.0000
 0 0.01732150 -12.8900 0.0600 90.0000
 0 0.01552180 -12.8900 0.0600 90.0000
 0 0.01627830 -12.8900 0.0600 90.0000
 0 0.01570660 -12.8900 0.0600 90.0000
 0 0.02040940 -12.8900 0.0600 90.0000
 0 0.01506510 -12.8900 0.0600 90.0000
 0 0.01626880 -12.8087 0.0600 90.0000
 0 0.01748940 -12.7212 0.0600 90.0000
 0 0.01616970 -12.6404 0.0600 90.0000
 0 0.01758490 -12.5524 0.0600 90.0000
 0 0.01696060 -12.4676 0.0600 90.0000
 0 0.01508720 -12.3922 0.0600 90.0000
 0 0.01697960 -12.3073 0.0600 90.0000
 0 0.01714180 -12.2216 0.0600 90.0000
 0 0.01746830 -12.1343 0.0600 90.0000
 0 0.01714190 -12.1343 0.0600 90.0000
 0 0.01578890 -12.1343 0.0600 90.0000
 0 0.01523770 -12.1343 0.0600 90.0000
 0 0.01759850 -12.1343 0.0600 90.0000
 0 0.01671590 -12.1343 0.0600 90.0000
 0 0.01674540 -12.1343 0.0600 90.0000
 0 0.01604970 -12.1343 0.0600 90.0000
 0 0.01745240 -12.1343 0.0600 90.0000
 0 0.01540470 -12.1343 0.0600 90.0000
 0 0.01606820 -12.1343 0.0600 90.0000
 0 0.01697270 -12.1343 0.0600 90.0000
 0 0.01715240 -12.1343 0.0600 90.0000
 0 0.01629970 -12.1343 0.0600 90.0000
 0 0.01808060 -12.1343 0.0600 90.0000
 0 0.01624500 -12.1343 0.0600 90.0000
 0 0.01695020 -12.1343 0.0600 90.0000
 0 0.01725220 -12.1343 0.0600 90.0000
 0 0.01479810 -12.1343 0.0600 90.0000
 0 0.01654380 -12.1343 0.0600 90.0000
 0 0.01621450 -12.1343 0.0600 90.0000
 0 0.01684880 -12.1343 0.0600 90.0000
 0 0.01635170 -12.0525 0.0600 90.0000
 0 0.01674800 -11.9688 0.0600 90.0000
 0 0.01637420 -11.8869 0.0600 90.0000
 0 0.01659950 -11.8039 0.0600 90.0000
 0 0.01692570 -11.7193 0.0600 90.0000
 0 0.01840910 -11.6272 0.0600 90.0000
 0 0.01710860 -11.5417 0.0600 90.0000
 0 0.01457730 -11.4688 0.0600 90.0000
 0 0.01680830 -11.3847 0.0600 90.0000
 0 0.01670930 -11.3012 0.0600 90.0000
 0 0.01755810 -11.2134 0.0600 90.0000
 0 0.01397330 -11.1435 0.0600 90.0000
 0 0.01790970 -11.0540 0.0600 90.0000
 0 0.01687520 -10.9696 0.0600 90.0000
 0 0.01735350 -10.8828 0.0600 90.0000
 0 0.01608990 -10.8024 0.0600 90.0000
 0 0.01873020 -10.7087 0.0600 90.0000
 0 0.01503910 -10.6335 0.0600 90.0000
 0 0.01681150 -10.5495 0.0600 90.0000
 0 0.01919580 -10.4535 0.0600 90.0000
 0 0.01501260 -10.3785 0.0600 90.0000
 0 0.01830460 -10.2869 0.0600 90.0000
 0 0.01421890 -10.2158 0.0600 90.0000
 0 0.01613620 -10.1352 0.0600 90.0000
 0 0.01743820 -10.0480 0.0600 90.0000
 0 0.01601240 -9.9679 0.0600 90.0000
 0 0.01695900 -9.8831 0.0600 90.0000
 0 0.01605080 -9.8028 0.0600 90.0000
 0 0.01734510 -9.7161 0.0600 90.0000
 0 0.01687070 -9.6318 0.0600 90.0000
 0 0.01832510 -9.5401 0.0600 90.0000
 0 0.01397490 -9.4703 0.0600 90.0000
 0 0.01627870 -9.3889 0.0600 90.0000
 0 0.01920860 -9.2928 0.0600 90.0000
 0 0.01718520 -9.2069 0.0600 90.0000
 0 0.01461050 -9.1339 0.0600 90.0000
 0 0.01632280 -9.0522 0.0599 90.0816
 0 0.01626120 -8.9709 0.0597 90.1629
 0 0.01672030 -8.8873 0.0593 90.2465
 0 0.02011780 -8.7867 0.0587 90.3471
 0 0.01637000 -8.7049 0.0581 90.4290
 0 0.01802770 -8.6148 0.0573 90.5191
 0 0.01795950 -8.5250 0.0563 90.6089
 0 0.01546580 -8.4476 0.0554 90.6862
 0 0.01877100 -8.3538 0.0541 90.7801
 0 0.01466920 -8.2805 0.0530 90.8534
 0 0.01682080 -8.1964 0.0516 90.9375
 0 0.01646900 -8.1140 0.0502 91.0199
 0 0.01723530 -8.0279 0.0485 91.1061
 0 0.01661490 -7.9448 0.0468 91.1891
 0 0.01886810 -7.8505 0.0447 91.2835
 0 0.01249320 -7.7881 0.0433 91.2835
 0 0.01638760 -7.7061 0.0414 91.2835
 0 0.01498500 -7.6312 0.0397 91.2835
 0 0.01519610 -7.5553 0.0380 91.2835
 0 0.01839870 -7.4633 0.0360 91.2835
 0 0.01830240 -7.3718 0.0339 91.2835
 0 0.01399980 -7.3018 0.0324 91.2835
 0 0.01717000 -7.2160 0.0304 91.2835
 0 0.01557220 -7.1382 0.0287 91.2835
 0 0.02099560 -7.0332 0.0263 91.2835
 0 0.01494720 -6.9585 0.0247 91.2835
 0 0.01740440 -6.8715 0.0227 91.2835
 0 0.01319580 -6.8055 0.0212 91.2835
 0 0.01781530 -6.7165 0.0193 91.2835
 0 0.01881780 -6.6224 0.0171 91.2835
 0 0.01417300 -6.5516 0.0156 91.2835
 0 0.01948600 -6.4542 0.0134 91.2835
 0 0.01398240 -6.3843 0.0118 91.2835
 0 0.01653520 -6.3016 0.0100 91.2835
 0 0.01730290 -6.2151 0.0080 91.2835
 0 0.01674370 -6.1314 0.0061 91.2835
 0 0.01811660 -6.0409 0.0041 91.2835
 0 0.01565520 -5.9626 0.0024 91.2835
 0 0.01775770 -5.8738 0.0004 91.2835
 0 0.01495340 -5.7991 -0.0013 91.2835
 0 0.01705830 -5.7138 -0.0032 91.2835
 0 0.01864760 -5.6206 -0.0053 91.2835
 0 0.01592100 -5.5410 -0.0071 91.2835
 0 0.01596060 -5.4612 -0.0089 91.2835
 0 0.01789070 -5.3718 -0.0109 91.2835
 0 0.01684830 -5.2876 -0.0128 91.2835
 0 0.01626830 -5.2063 -0.0146 91.2835
 0 0.01444840 -5.1340 -0.0162 91.2835
 0 0.01990030 -5.0346 -0.0184 91.2835
 0 0.01346050 -4.9673 -0.0199 91.2835
 0 0.01839360 -4.8753 -0.0220 91.2835
 0 0.01526770 -4.7990 -0.0237 91.2835
 0 0.01709500 -4.7136 -0.0256 91.2835
 0 0.01572350 -4.6350 -0.0274 91.2835
 0 0.01972210 -4.5364 -0.0296 91.2835
 0 0.01242700 -4.4742 -0.0310 91.2835
 0 0.01868710 -4.3808 -0.0331 91.2835
 0 0.01701150 -4.2958 -0.0350 91.2835
 0 0.01585560 -4.2165 -0.0368 91.2835
 0 0.01704210 -4.1314 -0.0387 91.2835
 0 0.01723300 -4.0452 -0.0406 91.2835
 0 0.01561760 -3.9671 -0.0423 91.2835
 0 0.01727330 -3.8808 -0.0443 91.2835
 0 0.01818840 -3.7899 -0.0463 91.2835
 0 0.01449030 -3.7174 -0.0479 91.2835
 0 0.01568480 -3.6390 -0.0497 91.2835
 0 0.01720570 -3.5530 -0.0516 91.2835
 0 0.01647170 -3.4707 -0.0535 91.2835
 0 0.01735340 -3.3840 -0.0554 91.2835
 0 0.01563750 -3.3058 -0.0572 91.2835
 0 0.01731150 -3.2192 -0.0591 91.2835
 0 0.01696220 -3.1345 -0.0610 91.2835
 0 0.01515640 -3.0587 -0.0627 91.2835
 0 0.01992780 -2.9591 -0.0649 91.2835
 0 0.01450560 -2.8866 -0.0666 91.2835
 0 0.01765440 -2.7983 -0.0685 91.2835
 0 0.01533880 -2.7216 -0.0702 91.2835
 0 0.01650670 -2.6391 -0.0721 91.2835
 0 0.01708160 -2.5537 -0.0740 91.2835
 0 0.01685470 -2.4695 -0.0759 91.2835
 0 0.01667800 -2.3861 -0.0778 91.2835
 0 0.01689100 -2.3017 -0.0797 91.2835
 0 0.01625710 -2.2204 -0.0815 91.2835
 0 0.01774030 -2.2204 -0.0815 91.2835
 0 0.01557000 -2.2204 -0.0815 91.2835
 0 0.01681240 -2.2204 -0.0815 91.2835
 0 0.01632170 -2.2204 -0.0815 91.2835
 0 0.01714570 -2.2204 -0.0815 91.2835
 0 0.01699990 -2.2204 -0.0815 91.2835
 0 0.01443190 -2.2204 -0.0815 91.2835
 0 0.01898670 -2.2204 -0.0815 91.2835
 0 0.01625570 -2.2204 -0.0815 91.2835
 0 0.01667530 -2.2204 -0.0815 91.2835
 0 0.01628700 -2.2204 -0.0815 91.2835
 0 0.01389040 -2.2204 -0.0815 91.2835
 0 0.01813100 -2.2204 -0.0815 91.2835
 0 0.01787120 -2.2204 -0.0815 91.2835
 0 0.01687590 -2.2204 -0.0815 91.2835
 0 0.01659470 -2.2204 -0.0815 91.2835
 0 0.01548630 -2.2204 -0.0815 91.2835
 0 0.01877780 -2.2204 -0.0815 91.2835
 0 0.01586850 -2.2204 -0.0815 91.2835
 0 0.01621860 -2.2204 -0.0815 91.2835
 0 0.01728980 -2.2204 -0.0815 91.2835
 0 0.01642810 -2.2204 -0.0815 91.2835
 0 0.01503890 -2.2204 -0.0815 91.2835
 0 0.01855130 -2.2204 -0.0815 91.2835
 0 0.01648080 -2.2204 -0.0815 91.2835
 0 0.01558940 -2.2204 -0.0815 91.2835
 0 0.02051500 -2.2204 -0.0815 91.2835
 0 0.01376840 -2.2204 -0.0815 91.2835
 0 0.01642390 -2.2204 -0.0815 91.2835
 0 0.01728920 -2.2204 -0.0815 91.2835
 0 0.01635430 -2.2204 -0.0815 91.2835
 0 0.01897160 -2.2204 -0.0815 91.2835
 0 0.01735920 -2.2204 -0.0815 91.2835
 0 0.01429160 -2.2204 -0.0815 91.2835
 0 0.01485120 -2.2204 -0.0815 91.2835
 0 0.02013290 -2.2204 -0.0815 91.2835
 0 0.01663980 -2.2204 -0.0815 91.2835
 0 0.01703290 -2.2204 -0.0815 91.2835
 0 0.01452430 -2.2204 -0.0815 91.2835
