Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01651170 -12.8900 0.0600 90.0000
 0 0.01751320 -12.8900 0.0600 90.0000
 0 0.01629830 -12.8900 0.0600 90.0000
 0 0.01669630 -12.8900 0.0600 90.0000
 0 0.01600540 -12.8900 0.0600 90.0000
 0 0.01587390 -12.8900 0.0600 90.0000
 0 0.01656410 -12.8900 0.0600 90.0000
 0 0.01796050 -12.8900 0.0600 90.0000
 0 0.01553340 -12.8900 0.0600 90.0000
 0 0.01667900 -12.8900 0.0600 90.0000
 0 0.01808560 -12.8900 0.0600 90.0000
 0 0.01653520 -12.8900 0.0600 90.0000
 0 0.01544480 -12.8900 0.0600 90.0000
 0 0.01719160 -12.8900 0.0600 90.0000
 0 0.01534260 -12.8900 0.0600 90.0000
 0 0.01751930 -12.8900 0.0600 90.0000
 0 0.01803820 -12.8900 0.0600 90.0000
 0 0.01483240 -12.8900 0.0600 90.0000
 0 0.01854010 -12.8900 0.0600 90.0000
 0 0.01549310 -12.8900 0.0600 90.0000
 0 0.01536090 -12.8900 0.0600 90.0000
 0 0.01790270 -12.8900 0.0600 90.0000
 0 0.01742160 -12.8900 0.0600 90.0000
 0 0.01612760 -12.8900 0.0600 90.0000
 0 0.01628310 -12.8900 0.0600 90.0000
 0 0.01735710 -12.8900 0.0600 90.0000
 0 0.01472720 -12.8900 0.0600 90.0000
 0 0.01824800 -12.8900 0.0600 90.0000
 0 0.01503260 -12.8900 0.0600 90.0000
