Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
name: Poster
posterPosition: (-7.567, 1.5, 4.975)
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01689910 -12.8900 0.0600 90.0000
 0 0.01658350 -12.8900 0.0600 90.0000
 0 0.01705780 -12.8900 0.0600 90.0000
 0 0.01697860 -12.8900 0.0600 90.0000
 0 0.01666380 -12.8900 0.0600 90.0000
 0 0.01649060 -12.8900 0.0600 90.0000
 0 0.01649900 -12.8900 0.0600 90.0000
 0 0.01680270 -12.8900 0.0600 90.0000
 0 0.01828180 -12.8900 0.0600 90.0000
 0 0.01570170 -12.8900 0.0600 90.0000
 0 0.01618050 -12.8900 0.0600 90.0000
 0 0.01639540 -12.8900 0.0600 90.0000
 0 0.01701150 -12.8900 0.0600 90.0000
 0 0.01620730 -12.8900 0.0600 90.0000
 0 0.01620870 -12.8900 0.0600 90.0000
 0 0.01684970 -12.8900 0.0600 90.0000
 0 0.01612580 -12.8900 0.0600 90.0000
 0 0.01798750 -12.8900 0.0600 90.0000
 0 0.01564000 -12.8900 0.0600 90.0000
 0 0.01627000 -12.8900 0.0600 90.0000
 0 0.01680280 -12.8900 0.0600 90.0000
 0 0.01716120 -12.8900 0.0600 90.0000
 0 0.01667430 -12.8900 0.0600 90.0000
 0 0.01652280 -12.8900 0.0600 90.0000
 0 0.01849890 -12.8900 0.0600 90.0000
 0 0.01469590 -12.8900 0.0600 90.0000
 0 0.02000780 -12.8900 0.0600 90.0000
 0 0.01396750 -12.8900 0.0600 90.0000
 0 0.01694640 -12.8900 0.0600 90.0000
 0 0.01771580 -12.8900 0.0600 90.0000
 0 0.01787310 -12.8900 0.0600 90.0000
 0 0.01621030 -12.8900 0.0600 90.0000
 0 0.01490150 -12.8900 0.0600 90.0000
 0 0.01799350 -12.8900 0.0600 90.0000
 0 0.01693270 -12.8900 0.0600 90.0000
 0 0.01596410 -12.8900 0.0600 90.0000
 0 0.01489230 -12.8900 0.0600 90.0000
 0 0.01632440 -12.8900 0.0600 90.0000
 0 0.01671450 -12.8900 0.0600 90.0000
 0 0.01684060 -12.8900 0.0600 90.0000
 0 0.01595690 -12.8900 0.0600 90.0000
 0 0.01810290 -12.8900 0.0600 90.0000
 0 0.01783630 -12.8900 0.0600 90.0000
 0 0.01644880 -12.8900 0.0600 90.0000
 0 0.01521730 -12.8900 0.0600 90.0000
 0 0.01795560 -12.8900 0.0600 90.0000
 0 0.01693870 -12.8900 0.0600 90.0000
 0 0.01658800 -12.8900 0.0600 90.0000
 0 0.01497680 -12.8900 0.0600 90.0000
 0 0.01753040 -12.8900 0.0600 90.0000
 0 0.01648460 -12.8900 0.0600 90.0000
 0 0.02107290 -12.8900 0.0600 90.0000
 0 0.01199920 -12.8900 0.0600 90.0000
 0 0.01716370 -12.8900 0.0600 90.0000
 0 0.01646220 -12.8900 0.0600 90.0000
 0 0.01819610 -12.8900 0.0600 90.0000
 0 0.01514170 -12.8900 0.0600 90.0000
 0 0.01597930 -12.8900 0.0600 90.0000
 0 0.01786020 -12.8900 0.0600 90.0000
 0 0.01805240 -12.8900 0.0600 90.0000
 0 0.01491180 -12.8900 0.0600 90.0000
 0 0.01625530 -12.8900 0.0600 90.0000
 0 0.01972220 -12.8900 0.0600 90.0000
 0 0.01353490 -12.8900 0.0600 90.0000
 0 0.01733200 -12.8900 0.0600 90.0000
 0 0.01477350 -12.8900 0.0600 90.0000
 0 0.01891210 -12.8900 0.0600 90.0000
 0 0.01637060 -12.8900 0.0600 90.0000
 0 0.01927350 -12.8900 0.0600 90.0000
 0 0.01308230 -12.8900 0.0600 90.0000
 0 0.01706060 -12.8900 0.0600 90.0000
 0 0.01697910 -12.8900 0.0600 90.0000
 0 0.01762400 -12.8900 0.0600 90.0000
 0 0.01566310 -12.8900 0.0600 90.0000
 0 0.01593250 -12.8900 0.0600 90.0000
